Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.254057	0	0	0	LastDelay	0.254057	254057	1	5
0.254057	0	0	0	FullDelay	0.254057	254057	1	5
1.29644	0	0	1	LastDelay	0.29644	296440	1	5
1.29644	0	0	1	FullDelay	0.29644	296440	1	5
2.29365	0	0	2	LastDelay	0.29365	293650	1	5
2.29365	0	0	2	FullDelay	0.29365	293650	1	5
3.29091	0	0	3	LastDelay	0.290906	290906	1	5
3.29091	0	0	3	FullDelay	0.290906	290906	1	5
4.27763	0	0	4	LastDelay	0.277633	277633	1	5
4.27763	0	0	4	FullDelay	0.277633	277633	1	5
5.27535	0	0	5	LastDelay	0.275351	275351	1	5
5.27535	0	0	5	FullDelay	0.275351	275351	1	5
6.27372	0	0	6	LastDelay	0.273724	273724	1	5
6.27372	0	0	6	FullDelay	0.273724	273724	1	5
7.27215	0	0	7	LastDelay	0.27215	272150	1	5
7.27215	0	0	7	FullDelay	0.27215	272150	1	5
8.26294	0	0	8	LastDelay	0.262944	262944	1	5
8.26294	0	0	8	FullDelay	0.262944	262944	1	5
9.26215	0	0	9	LastDelay	0.262148	262148	1	5
9.26215	0	0	9	FullDelay	0.262148	262148	1	5
